Epoch   0 [unconstrained] | Target: 0.70 | H: 1.082
Epoch   1 [unconstrained] | Target: 0.20 | H: 1.076
Epoch   2 [unconstrained] | Target: 0.10 | H: 1.073
Epoch   3 [unconstrained] | Target: 0.00 | H: 1.078
Epoch   4 [unconstrained] | Target: 0.00 | H: 1.063
Epoch   5 [unconstrained] | Target: 0.40 | H: 1.068
Epoch   6 [unconstrained] | Target: 0.00 | H: 1.058
Epoch   7 [unconstrained] | Target: 0.40 | H: 1.075
Epoch   8 [unconstrained] | Target: 0.10 | H: 1.061
Epoch   9 [unconstrained] | Target: 0.00 | H: 1.046
Epoch  10 [unconstrained] | Target: 0.40 | H: 1.027
Epoch  11 [unconstrained] | Target: 0.40 | H: 1.032
Epoch  12 [unconstrained] | Target: 0.10 | H: 1.050
Epoch  13 [unconstrained] | Target: 1.00 | H: 1.052
Epoch  14 [unconstrained] | Target: 0.10 | H: 1.066
Epoch  15 [unconstrained] | Target: 0.30 | H: 1.059
Epoch  16 [unconstrained] | Target: 0.70 | H: 1.080
Epoch  17 [unconstrained] | Target: 0.30 | H: 1.085
Epoch  18 [unconstrained] | Target: 0.00 | H: 1.071
Epoch  19 [unconstrained] | Target: 0.20 | H: 1.075
Epoch  20 [unconstrained] | Target: 0.00 | H: 1.056
Epoch  21 [unconstrained] | Target: 0.00 | H: 1.071
Epoch  22 [unconstrained] | Target: 0.00 | H: 1.067
Epoch  23 [unconstrained] | Target: 0.60 | H: 1.065
Epoch  24 [unconstrained] | Target: 0.00 | H: 1.079
Epoch  25 [unconstrained] | Target: 0.10 | H: 1.063
Epoch  26 [unconstrained] | Target: 0.00 | H: 1.085
Epoch  27 [unconstrained] | Target: 0.60 | H: 1.055
Epoch  28 [unconstrained] | Target: 0.70 | H: 1.072
Epoch  29 [unconstrained] | Target: 0.00 | H: 1.062
Epoch  30 [unconstrained] | Target: 0.10 | H: 1.074
Epoch  31 [unconstrained] | Target: 0.00 | H: 1.086
Epoch  32 [unconstrained] | Target: 0.10 | H: 1.058
Epoch  33 [unconstrained] | Target: 0.00 | H: 1.074
Epoch  34 [unconstrained] | Target: 0.00 | H: 1.075
Epoch  35 [unconstrained] | Target: 0.00 | H: 1.081
Epoch  36 [unconstrained] | Target: 0.00 | H: 1.091
Epoch  37 [unconstrained] | Target: 0.00 | H: 1.076
Epoch  38 [unconstrained] | Target: 0.00 | H: 1.071
Epoch  39 [unconstrained] | Target: 0.50 | H: 1.086
Epoch  40 [unconstrained] | Target: 0.20 | H: 1.074
Epoch  41 [unconstrained] | Target: 0.60 | H: 1.087
Epoch  42 [unconstrained] | Target: 0.20 | H: 1.072
Epoch  43 [unconstrained] | Target: 0.00 | H: 1.060
Epoch  44 [unconstrained] | Target: 0.20 | H: 1.068
Epoch  45 [unconstrained] | Target: 0.00 | H: 1.076
Epoch  46 [unconstrained] | Target: 0.40 | H: 1.056
Epoch  47 [unconstrained] | Target: 0.10 | H: 1.058
Epoch  48 [unconstrained] | Target: 0.10 | H: 1.042
Epoch  49 [unconstrained] | Target: 0.10 | H: 1.062
Epoch  50 [unconstrained] | Target: 0.10 | H: 1.049
Epoch  51 [unconstrained] | Target: 0.10 | H: 1.055
Epoch  52 [unconstrained] | Target: 0.40 | H: 1.058
Epoch  53 [unconstrained] | Target: 0.00 | H: 1.053
Epoch  54 [unconstrained] | Target: 0.50 | H: 1.049
Epoch  55 [unconstrained] | Target: 0.10 | H: 1.057
Epoch  56 [unconstrained] | Target: 0.40 | H: 1.050
Epoch  57 [unconstrained] | Target: 0.40 | H: 1.051
Epoch  58 [unconstrained] | Target: 0.20 | H: 1.054
Epoch  59 [unconstrained] | Target: 0.20 | H: 1.038
Epoch  60 [unconstrained] | Target: 0.50 | H: 1.057
Epoch  61 [unconstrained] | Target: 0.40 | H: 1.045
Epoch  62 [unconstrained] | Target: 0.00 | H: 1.038
Epoch  63 [unconstrained] | Target: 0.00 | H: 1.056
Epoch  64 [unconstrained] | Target: 0.00 | H: 1.044
Epoch  65 [unconstrained] | Target: 0.00 | H: 1.062
Epoch  66 [unconstrained] | Target: 0.00 | H: 1.051
Epoch  67 [unconstrained] | Target: 0.00 | H: 1.053
Epoch  68 [unconstrained] | Target: 0.00 | H: 1.046
Epoch  69 [unconstrained] | Target: 0.20 | H: 1.034
Epoch  70 [unconstrained] | Target: 0.00 | H: 1.044
Epoch  71 [unconstrained] | Target: 0.20 | H: 1.024
Epoch  72 [unconstrained] | Target: 0.00 | H: 1.033
Epoch  73 [unconstrained] | Target: 0.00 | H: 1.038
Epoch  74 [unconstrained] | Target: 0.00 | H: 1.042
Epoch  75 [unconstrained] | Target: 0.00 | H: 1.036
Epoch  76 [unconstrained] | Target: 0.00 | H: 1.045
Epoch  77 [unconstrained] | Target: 0.30 | H: 1.030
Epoch  78 [unconstrained] | Target: 0.10 | H: 1.040
Epoch  79 [unconstrained] | Target: 0.30 | H: 1.035
Epoch  80 [unconstrained] | Target: 0.80 | H: 1.059
Epoch  81 [unconstrained] | Target: 0.20 | H: 1.018
Epoch  82 [unconstrained] | Target: 0.00 | H: 1.034
Epoch  83 [unconstrained] | Target: 0.10 | H: 1.025
Epoch  84 [unconstrained] | Target: 0.40 | H: 1.010
Epoch  85 [unconstrained] | Target: 0.00 | H: 1.053
Epoch  86 [unconstrained] | Target: 0.00 | H: 1.029
Epoch  87 [unconstrained] | Target: 0.00 | H: 1.018
Epoch  88 [unconstrained] | Target: 0.60 | H: 1.037
Epoch  89 [unconstrained] | Target: 0.80 | H: 0.999
Epoch  90 [unconstrained] | Target: 0.20 | H: 1.026
Epoch  91 [unconstrained] | Target: 0.00 | H: 1.043
Epoch  92 [unconstrained] | Target: 0.40 | H: 1.040
Epoch  93 [unconstrained] | Target: 0.00 | H: 1.055
Epoch  94 [unconstrained] | Target: 0.70 | H: 1.046
Epoch  95 [unconstrained] | Target: 0.00 | H: 1.073
Epoch  96 [unconstrained] | Target: 0.20 | H: 1.062
Epoch  97 [unconstrained] | Target: 0.40 | H: 1.058
Epoch  98 [unconstrained] | Target: 0.30 | H: 1.062
Epoch  99 [unconstrained] | Target: 0.00 | H: 1.058
Epoch 100 [unconstrained] | Target: 0.40 | H: 1.065
Epoch 101 [unconstrained] | Target: 0.10 | H: 1.053
Epoch 102 [unconstrained] | Target: 0.00 | H: 1.064
Epoch 103 [unconstrained] | Target: 0.60 | H: 1.050
Epoch 104 [unconstrained] | Target: 0.70 | H: 1.053
Epoch 105 [unconstrained] | Target: 0.00 | H: 1.050
Epoch 106 [unconstrained] | Target: 0.20 | H: 1.057
Epoch 107 [unconstrained] | Target: 0.30 | H: 1.045
Epoch 108 [unconstrained] | Target: 0.90 | H: 1.027
Epoch 109 [unconstrained] | Target: 0.00 | H: 1.053
Epoch 110 [unconstrained] | Target: 0.10 | H: 1.034
Epoch 111 [unconstrained] | Target: 0.00 | H: 1.037
Epoch 112 [unconstrained] | Target: 0.00 | H: 1.051
Epoch 113 [unconstrained] | Target: 0.40 | H: 1.054
Epoch 114 [unconstrained] | Target: 0.10 | H: 1.057
Epoch 115 [unconstrained] | Target: 0.00 | H: 1.046
Epoch 116 [unconstrained] | Target: 0.00 | H: 1.039
Epoch 117 [unconstrained] | Target: 0.20 | H: 1.060
Epoch 118 [unconstrained] | Target: 0.00 | H: 1.051
Epoch 119 [unconstrained] | Target: 0.30 | H: 1.057
Epoch 120 [unconstrained] | Target: 0.00 | H: 1.055
Epoch 121 [unconstrained] | Target: 0.10 | H: 1.047
Epoch 122 [unconstrained] | Target: 0.60 | H: 1.059
Epoch 123 [unconstrained] | Target: 0.40 | H: 1.048
Epoch 124 [unconstrained] | Target: 0.00 | H: 1.060
Epoch 125 [unconstrained] | Target: 0.00 | H: 1.061
Epoch 126 [unconstrained] | Target: 0.00 | H: 1.064
Epoch 127 [unconstrained] | Target: 0.30 | H: 1.071
Epoch 128 [unconstrained] | Target: 0.00 | H: 1.052
Epoch 129 [unconstrained] | Target: 0.00 | H: 1.072
Epoch 130 [unconstrained] | Target: 0.00 | H: 1.064
Epoch 131 [unconstrained] | Target: 0.00 | H: 1.058
Epoch 132 [unconstrained] | Target: 0.40 | H: 1.072
Epoch 133 [unconstrained] | Target: 0.20 | H: 1.078
Epoch 134 [unconstrained] | Target: 0.10 | H: 1.087
Epoch 135 [unconstrained] | Target: 0.00 | H: 1.061
Epoch 136 [unconstrained] | Target: 0.70 | H: 1.063
Epoch 137 [unconstrained] | Target: 0.60 | H: 1.078
Epoch 138 [unconstrained] | Target: 0.00 | H: 1.062
Epoch 139 [unconstrained] | Target: 0.30 | H: 1.069
Epoch 140 [unconstrained] | Target: 0.00 | H: 1.065
Epoch 141 [unconstrained] | Target: 0.60 | H: 1.067
Epoch 142 [unconstrained] | Target: 0.40 | H: 1.078
Epoch 143 [unconstrained] | Target: 0.30 | H: 1.079
Epoch 144 [unconstrained] | Target: 0.10 | H: 1.079
Epoch 145 [unconstrained] | Target: 0.10 | H: 1.093
Epoch 146 [unconstrained] | Target: 0.10 | H: 1.075
Epoch 147 [unconstrained] | Target: 0.00 | H: 1.095
Epoch 148 [unconstrained] | Target: 0.10 | H: 1.095
Epoch 149 [unconstrained] | Target: 0.10 | H: 1.096
Epoch 150 [unconstrained] | Target: 0.30 | H: 1.095
Epoch 151 [unconstrained] | Target: 0.30 | H: 1.093
Epoch 152 [unconstrained] | Target: 0.10 | H: 1.096
Epoch 153 [unconstrained] | Target: 0.10 | H: 1.096
Epoch 154 [unconstrained] | Target: 0.30 | H: 1.094
Epoch 155 [unconstrained] | Target: 0.00 | H: 1.096
Epoch 156 [unconstrained] | Target: 0.10 | H: 1.092
Epoch 157 [unconstrained] | Target: 0.00 | H: 1.098
Epoch 158 [unconstrained] | Target: 0.60 | H: 1.098
Epoch 159 [unconstrained] | Target: 0.60 | H: 1.098
Epoch 160 [unconstrained] | Target: 0.00 | H: 1.099
Epoch 161 [unconstrained] | Target: 0.00 | H: 1.097
Epoch 162 [unconstrained] | Target: 0.10 | H: 1.095
Epoch 163 [unconstrained] | Target: 0.10 | H: 1.098
Epoch 164 [unconstrained] | Target: 0.90 | H: 1.098
Epoch 165 [unconstrained] | Target: 0.60 | H: 1.085
Epoch 166 [unconstrained] | Target: 0.10 | H: 1.091
Epoch 167 [unconstrained] | Target: 0.20 | H: 1.096
Epoch 168 [unconstrained] | Target: 0.00 | H: 1.091
Epoch 169 [unconstrained] | Target: 0.30 | H: 1.095
Epoch 170 [unconstrained] | Target: 0.00 | H: 1.090
Epoch 171 [unconstrained] | Target: 0.40 | H: 1.097
Epoch 172 [unconstrained] | Target: 0.50 | H: 1.089
Epoch 173 [unconstrained] | Target: 0.20 | H: 1.096
Epoch 174 [unconstrained] | Target: 0.60 | H: 1.096
Epoch 175 [unconstrained] | Target: 0.10 | H: 1.096
Epoch 176 [unconstrained] | Target: 0.00 | H: 1.091
Epoch 177 [unconstrained] | Target: 0.10 | H: 1.097
Epoch 178 [unconstrained] | Target: 0.10 | H: 1.094
Epoch 179 [unconstrained] | Target: 0.00 | H: 1.097
Epoch 180 [unconstrained] | Target: 0.30 | H: 1.096
Epoch 181 [unconstrained] | Target: 0.00 | H: 1.093
Epoch 182 [unconstrained] | Target: 0.40 | H: 1.089
Epoch 183 [unconstrained] | Target: 0.00 | H: 1.094
Epoch 184 [unconstrained] | Target: 0.30 | H: 1.098
Epoch 185 [unconstrained] | Target: 0.00 | H: 1.093
Epoch 186 [unconstrained] | Target: 0.40 | H: 1.098
Epoch 187 [unconstrained] | Target: 0.00 | H: 1.098
Epoch 188 [unconstrained] | Target: 1.00 | H: 1.094
Epoch 189 [unconstrained] | Target: 0.20 | H: 1.097
Epoch 190 [unconstrained] | Target: 0.30 | H: 1.098
Epoch 191 [unconstrained] | Target: 0.30 | H: 1.097
Epoch 192 [unconstrained] | Target: 0.00 | H: 1.098
Epoch 193 [unconstrained] | Target: 0.40 | H: 1.098
Epoch 194 [unconstrained] | Target: 0.10 | H: 1.098
Epoch 195 [unconstrained] | Target: 0.60 | H: 1.095
Epoch 196 [unconstrained] | Target: 0.20 | H: 1.097
Epoch 197 [unconstrained] | Target: 0.00 | H: 1.097
Epoch 198 [unconstrained] | Target: 0.30 | H: 1.096
Epoch 199 [unconstrained] | Target: 0.10 | H: 1.099
Epoch 200 [unconstrained] | Target: 0.00 | H: 1.096
Epoch 201 [unconstrained] | Target: 0.20 | H: 1.097
Epoch 202 [unconstrained] | Target: 0.80 | H: 1.098
Epoch 203 [unconstrained] | Target: 0.10 | H: 1.094
Epoch 204 [unconstrained] | Target: 0.50 | H: 1.096
Epoch 205 [unconstrained] | Target: 0.30 | H: 1.093
Epoch 206 [unconstrained] | Target: 0.30 | H: 1.091
Epoch 207 [unconstrained] | Target: 0.70 | H: 1.092
Epoch 208 [unconstrained] | Target: 0.20 | H: 1.091
Epoch 209 [unconstrained] | Target: 0.00 | H: 1.085
Epoch 210 [unconstrained] | Target: 0.10 | H: 1.089
Epoch 211 [unconstrained] | Target: 0.20 | H: 1.089
Epoch 212 [unconstrained] | Target: 0.50 | H: 1.080
Epoch 213 [unconstrained] | Target: 0.00 | H: 1.085
Epoch 214 [unconstrained] | Target: 0.10 | H: 1.083
Epoch 215 [unconstrained] | Target: 0.20 | H: 1.085
Epoch 216 [unconstrained] | Target: 0.00 | H: 1.080
Epoch 217 [unconstrained] | Target: 0.00 | H: 1.082
Epoch 218 [unconstrained] | Target: 0.10 | H: 1.075
Epoch 219 [unconstrained] | Target: 0.60 | H: 1.077
Epoch 220 [unconstrained] | Target: 0.00 | H: 1.084
Epoch 221 [unconstrained] | Target: 0.00 | H: 1.074
Epoch 222 [unconstrained] | Target: 0.50 | H: 1.074
Epoch 223 [unconstrained] | Target: 0.30 | H: 1.069
Epoch 224 [unconstrained] | Target: 0.50 | H: 1.078
Epoch 225 [unconstrained] | Target: 0.30 | H: 1.066
Epoch 226 [unconstrained] | Target: 0.20 | H: 1.066
Epoch 227 [unconstrained] | Target: 0.00 | H: 1.066
Epoch 228 [unconstrained] | Target: 0.00 | H: 1.072
Epoch 229 [unconstrained] | Target: 0.60 | H: 1.065
Epoch 230 [unconstrained] | Target: 0.40 | H: 1.061
Epoch 231 [unconstrained] | Target: 0.20 | H: 1.070
Epoch 232 [unconstrained] | Target: 0.30 | H: 1.066
Epoch 233 [unconstrained] | Target: 0.40 | H: 1.067
Epoch 234 [unconstrained] | Target: 0.20 | H: 1.073
Epoch 235 [unconstrained] | Target: 0.20 | H: 1.064
Epoch 236 [unconstrained] | Target: 0.20 | H: 1.071
Epoch 237 [unconstrained] | Target: 0.00 | H: 1.074
Epoch 238 [unconstrained] | Target: 0.00 | H: 1.071
Epoch 239 [unconstrained] | Target: 0.00 | H: 1.076
Epoch 240 [unconstrained] | Target: 0.00 | H: 1.070
Epoch 241 [unconstrained] | Target: 0.00 | H: 1.078
