Epoch   0 [constrained] | Target: 0.40 | Ethical cost: 125.3658 | H: 1.080
Epoch   1 [constrained] | Target: 0.00 | Ethical cost: 175.0803 | H: 1.076
Epoch   2 [constrained] | Target: 0.20 | Ethical cost: 135.9199 | H: 1.072
Epoch   3 [constrained] | Target: 0.00 | Ethical cost: 186.5147 | H: 1.065
Epoch   4 [constrained] | Target: 0.40 | Ethical cost: 161.6072 | H: 1.037
Epoch   5 [constrained] | Target: 0.10 | Ethical cost: 206.0123 | H: 1.035
Epoch   6 [constrained] | Target: 0.10 | Ethical cost: 206.1482 | H: 1.005
Epoch   7 [constrained] | Target: 0.30 | Ethical cost: 230.8642 | H: 0.978
Epoch   8 [constrained] | Target: 0.20 | Ethical cost: 225.7556 | H: 0.967
Epoch   9 [constrained] | Target: 0.60 | Ethical cost: 105.5653 | H: 0.954
Epoch  10 [constrained] | Target: 0.00 | Ethical cost: 262.7958 | H: 0.944
Epoch  11 [constrained] | Target: 0.00 | Ethical cost: 258.4481 | H: 0.942
Epoch  12 [constrained] | Target: 0.00 | Ethical cost: 269.2042 | H: 0.920
Epoch  13 [constrained] | Target: 0.10 | Ethical cost: 221.2346 | H: 0.968
Epoch  14 [constrained] | Target: 0.00 | Ethical cost: 255.0482 | H: 0.939
Epoch  15 [constrained] | Target: 0.40 | Ethical cost: 186.9877 | H: 0.941
Epoch  16 [constrained] | Target: 0.10 | Ethical cost: 213.5632 | H: 0.971
Epoch  17 [constrained] | Target: 0.00 | Ethical cost: 229.0592 | H: 0.960
Epoch  18 [constrained] | Target: 0.50 | Ethical cost: 167.1796 | H: 0.960
Epoch  19 [constrained] | Target: 0.40 | Ethical cost: 183.0776 | H: 0.943
Epoch  20 [constrained] | Target: 0.20 | Ethical cost: 200.9056 | H: 0.960
Epoch  21 [constrained] | Target: 0.50 | Ethical cost: 181.2714 | H: 0.940
Epoch  22 [constrained] | Target: 0.60 | Ethical cost: 204.8746 | H: 0.948
Epoch  23 [constrained] | Target: 0.10 | Ethical cost: 218.1536 | H: 0.926
Epoch  24 [constrained] | Target: 0.30 | Ethical cost: 206.6701 | H: 0.905
Epoch  25 [constrained] | Target: 0.20 | Ethical cost: 205.9442 | H: 0.942
Epoch  26 [constrained] | Target: 0.40 | Ethical cost: 192.8828 | H: 0.882
Epoch  27 [constrained] | Target: 1.00 | Ethical cost: 20.5940 | H: 0.942
Epoch  28 [constrained] | Target: 0.00 | Ethical cost: 274.5194 | H: 0.827
Epoch  29 [constrained] | Target: 0.10 | Ethical cost: 236.9632 | H: 0.895
Epoch  30 [constrained] | Target: 0.00 | Ethical cost: 262.6181 | H: 0.861
Epoch  31 [constrained] | Target: 0.10 | Ethical cost: 266.3509 | H: 0.891
Epoch  32 [constrained] | Target: 0.00 | Ethical cost: 267.5944 | H: 0.879
Epoch  33 [constrained] | Target: 0.00 | Ethical cost: 276.9296 | H: 0.837
Epoch  34 [constrained] | Target: 0.00 | Ethical cost: 261.0955 | H: 0.884
Epoch  35 [constrained] | Target: 0.10 | Ethical cost: 268.8152 | H: 0.854
Epoch  36 [constrained] | Target: 0.00 | Ethical cost: 267.4763 | H: 0.878
Epoch  37 [constrained] | Target: 0.10 | Ethical cost: 275.3935 | H: 0.850
Epoch  38 [constrained] | Target: 0.60 | Ethical cost: 140.2304 | H: 0.901
Epoch  39 [constrained] | Target: 0.10 | Ethical cost: 244.9888 | H: 0.869
Epoch  40 [constrained] | Target: 0.50 | Ethical cost: 191.1485 | H: 0.865
Epoch  41 [constrained] | Target: 0.20 | Ethical cost: 214.1313 | H: 0.884
