Epoch   0 [constrained] | Target: 0.30 | Ethical cost: 109.8312 | H: 1.098
Epoch   1 [constrained] | Target: 0.70 | Ethical cost: 50.7216 | H: 1.092
Epoch   2 [constrained] | Target: 0.40 | Ethical cost: 112.2203 | H: 1.097
Epoch   3 [constrained] | Target: 0.00 | Ethical cost: 100.3317 | H: 1.096
Epoch   4 [constrained] | Target: 0.70 | Ethical cost: 49.8033 | H: 1.091
Epoch   5 [constrained] | Target: 0.00 | Ethical cost: 107.6900 | H: 1.094
Epoch   6 [constrained] | Target: 0.00 | Ethical cost: 96.9652 | H: 1.088
Epoch   7 [constrained] | Target: 0.30 | Ethical cost: 82.1093 | H: 1.081
Epoch   8 [constrained] | Target: 0.00 | Ethical cost: 111.1823 | H: 1.094
Epoch   9 [constrained] | Target: 0.30 | Ethical cost: 84.7539 | H: 1.080
Epoch  10 [constrained] | Target: 0.10 | Ethical cost: 94.2066 | H: 1.074
Epoch  11 [constrained] | Target: 0.60 | Ethical cost: 63.3567 | H: 1.068
Epoch  12 [constrained] | Target: 0.30 | Ethical cost: 81.9902 | H: 1.063
Epoch  13 [constrained] | Target: 0.10 | Ethical cost: 86.4750 | H: 1.062
Epoch  14 [constrained] | Target: 0.50 | Ethical cost: 81.5043 | H: 1.053
Epoch  15 [constrained] | Target: 0.20 | Ethical cost: 82.4564 | H: 1.031
Epoch  16 [constrained] | Target: 0.00 | Ethical cost: 78.8802 | H: 1.030
Epoch  17 [constrained] | Target: 0.00 | Ethical cost: 74.5561 | H: 1.011
Epoch  18 [constrained] | Target: 0.00 | Ethical cost: 59.9287 | H: 0.994
Epoch  19 [constrained] | Target: 0.00 | Ethical cost: 73.5965 | H: 1.022
Epoch  20 [constrained] | Target: 0.00 | Ethical cost: 59.2270 | H: 1.006
Epoch  21 [constrained] | Target: 0.10 | Ethical cost: 65.0771 | H: 1.026
Epoch  22 [constrained] | Target: 0.70 | Ethical cost: 15.8554 | H: 0.978
Epoch  23 [constrained] | Target: 0.00 | Ethical cost: 51.0276 | H: 0.984
Epoch  24 [constrained] | Target: 0.00 | Ethical cost: 38.5008 | H: 0.941
Epoch  25 [constrained] | Target: 0.50 | Ethical cost: 35.2431 | H: 0.977
Epoch  26 [constrained] | Target: 0.20 | Ethical cost: 35.3870 | H: 0.955
Epoch  27 [constrained] | Target: 0.00 | Ethical cost: 21.9363 | H: 0.918
Epoch  28 [constrained] | Target: 0.00 | Ethical cost: 21.1117 | H: 0.880
Epoch  29 [constrained] | Target: 0.20 | Ethical cost: 18.4657 | H: 0.864
Epoch  30 [constrained] | Target: 0.00 | Ethical cost: 22.9855 | H: 0.878
Epoch  31 [constrained] | Target: 0.20 | Ethical cost: 21.8423 | H: 0.890
Epoch  32 [constrained] | Target: 0.00 | Ethical cost: 12.9259 | H: 0.813
Epoch  33 [constrained] | Target: 0.50 | Ethical cost: 8.6977 | H: 0.831
Epoch  34 [constrained] | Target: 0.40 | Ethical cost: 11.8992 | H: 0.849
Epoch  35 [constrained] | Target: 0.00 | Ethical cost: 13.2466 | H: 0.825
Epoch  36 [constrained] | Target: 0.50 | Ethical cost: 9.4160 | H: 0.788
Epoch  37 [constrained] | Target: 0.00 | Ethical cost: 14.4756 | H: 0.794
Epoch  38 [constrained] | Target: 0.70 | Ethical cost: 4.1020 | H: 0.754
Epoch  39 [constrained] | Target: 0.00 | Ethical cost: 10.4598 | H: 0.778
Epoch  40 [constrained] | Target: 0.10 | Ethical cost: 9.1011 | H: 0.768
Epoch  41 [constrained] | Target: 0.20 | Ethical cost: 8.2554 | H: 0.761
Epoch  42 [constrained] | Target: 0.10 | Ethical cost: 8.4392 | H: 0.709
Epoch  43 [constrained] | Target: 0.30 | Ethical cost: 5.9733 | H: 0.738
Epoch  44 [constrained] | Target: 0.00 | Ethical cost: 5.8933 | H: 0.728
Epoch  45 [constrained] | Target: 0.00 | Ethical cost: 2.8218 | H: 0.701
Epoch  46 [constrained] | Target: 0.50 | Ethical cost: 3.8131 | H: 0.735
Epoch  47 [constrained] | Target: 0.30 | Ethical cost: 6.0935 | H: 0.729
Epoch  48 [constrained] | Target: 0.20 | Ethical cost: 5.2630 | H: 0.688
Epoch  49 [constrained] | Target: 0.00 | Ethical cost: 6.3267 | H: 0.714
Epoch  50 [constrained] | Target: 0.50 | Ethical cost: 3.7535 | H: 0.690
Epoch  51 [constrained] | Target: 0.50 | Ethical cost: 3.8615 | H: 0.683
Epoch  52 [constrained] | Target: 0.70 | Ethical cost: 3.6970 | H: 0.716
Epoch  53 [constrained] | Target: 0.00 | Ethical cost: 4.0285 | H: 0.608
Epoch  54 [constrained] | Target: 0.00 | Ethical cost: 4.6233 | H: 0.615
Epoch  55 [constrained] | Target: 0.50 | Ethical cost: 4.2268 | H: 0.633
Epoch  56 [constrained] | Target: 0.00 | Ethical cost: 3.9563 | H: 0.585
Epoch  57 [constrained] | Target: 0.60 | Ethical cost: 1.6491 | H: 0.601
Epoch  58 [constrained] | Target: 0.40 | Ethical cost: 3.0047 | H: 0.601
Epoch  59 [constrained] | Target: 0.00 | Ethical cost: 3.8755 | H: 0.626
Epoch  60 [constrained] | Target: 0.00 | Ethical cost: 4.3426 | H: 0.564
Epoch  61 [constrained] | Target: 0.10 | Ethical cost: 3.0844 | H: 0.578
Epoch  62 [constrained] | Target: 0.10 | Ethical cost: 3.6640 | H: 0.593
Epoch  63 [constrained] | Target: 0.80 | Ethical cost: 1.6454 | H: 0.615
Epoch  64 [constrained] | Target: 0.00 | Ethical cost: 3.4372 | H: 0.574
Epoch  65 [constrained] | Target: 0.00 | Ethical cost: 4.7368 | H: 0.618
Epoch  66 [constrained] | Target: 0.00 | Ethical cost: 4.2528 | H: 0.593
Epoch  67 [constrained] | Target: 0.00 | Ethical cost: 5.0552 | H: 0.631
Epoch  68 [constrained] | Target: 0.00 | Ethical cost: 6.9030 | H: 0.618
Epoch  69 [constrained] | Target: 0.00 | Ethical cost: 4.1505 | H: 0.611
Epoch  70 [constrained] | Target: 0.00 | Ethical cost: 4.4453 | H: 0.578
Epoch  71 [constrained] | Target: 0.10 | Ethical cost: 4.3618 | H: 0.589
Epoch  72 [constrained] | Target: 0.00 | Ethical cost: 5.3921 | H: 0.609
Epoch  73 [constrained] | Target: 0.20 | Ethical cost: 3.2843 | H: 0.582
Epoch  74 [constrained] | Target: 0.90 | Ethical cost: 0.1130 | H: 0.555
Epoch  75 [constrained] | Target: 0.60 | Ethical cost: 2.4800 | H: 0.622
Epoch  76 [constrained] | Target: 0.00 | Ethical cost: 4.0473 | H: 0.573
Epoch  77 [constrained] | Target: 0.10 | Ethical cost: 4.3163 | H: 0.568
Epoch  78 [constrained] | Target: 0.00 | Ethical cost: 4.5342 | H: 0.589
Epoch  79 [constrained] | Target: 0.10 | Ethical cost: 3.4145 | H: 0.590
Epoch  80 [constrained] | Target: 0.10 | Ethical cost: 3.0217 | H: 0.578
Epoch  81 [constrained] | Target: 0.00 | Ethical cost: 3.9297 | H: 0.558
Epoch  82 [constrained] | Target: 0.70 | Ethical cost: 1.9473 | H: 0.562
Epoch  83 [constrained] | Target: 0.30 | Ethical cost: 2.4085 | H: 0.569
Epoch  84 [constrained] | Target: 0.00 | Ethical cost: 4.0415 | H: 0.564
Epoch  85 [constrained] | Target: 0.00 | Ethical cost: 4.3976 | H: 0.572
Epoch  86 [constrained] | Target: 0.00 | Ethical cost: 3.0387 | H: 0.573
Epoch  87 [constrained] | Target: 0.10 | Ethical cost: 1.2693 | H: 0.557
Epoch  88 [constrained] | Target: 0.00 | Ethical cost: 3.6197 | H: 0.517
Epoch  89 [constrained] | Target: 0.00 | Ethical cost: 2.3176 | H: 0.567
Epoch  90 [constrained] | Target: 0.20 | Ethical cost: 1.0211 | H: 0.496
Epoch  91 [constrained] | Target: 0.80 | Ethical cost: 0.9386 | H: 0.488
Epoch  92 [constrained] | Target: 0.00 | Ethical cost: 1.8146 | H: 0.536
Epoch  93 [constrained] | Target: 0.60 | Ethical cost: 2.2659 | H: 0.536
Epoch  94 [constrained] | Target: 0.00 | Ethical cost: 2.6210 | H: 0.509
Epoch  95 [constrained] | Target: 0.00 | Ethical cost: 1.6464 | H: 0.514
Epoch  96 [constrained] | Target: 0.00 | Ethical cost: 3.3925 | H: 0.512
Epoch  97 [constrained] | Target: 0.00 | Ethical cost: 3.8926 | H: 0.537
Epoch  98 [constrained] | Target: 0.60 | Ethical cost: 1.5604 | H: 0.526
Epoch  99 [constrained] | Target: 0.10 | Ethical cost: 3.6476 | H: 0.520
Epoch 100 [constrained] | Target: 0.00 | Ethical cost: 5.7937 | H: 0.547
Epoch 101 [constrained] | Target: 0.00 | Ethical cost: 2.4178 | H: 0.552
Epoch 102 [constrained] | Target: 0.80 | Ethical cost: 1.4741 | H: 0.553
Epoch 103 [constrained] | Target: 0.10 | Ethical cost: 4.0675 | H: 0.560
Epoch 104 [constrained] | Target: 0.50 | Ethical cost: 2.9243 | H: 0.512
Epoch 105 [constrained] | Target: 0.00 | Ethical cost: 1.9397 | H: 0.537
Epoch 106 [constrained] | Target: 0.00 | Ethical cost: 3.7272 | H: 0.538
Epoch 107 [constrained] | Target: 0.20 | Ethical cost: 4.2147 | H: 0.529
Epoch 108 [constrained] | Target: 0.00 | Ethical cost: 1.9107 | H: 0.468
Epoch 109 [constrained] | Target: 0.00 | Ethical cost: 1.6643 | H: 0.449
Epoch 110 [constrained] | Target: 0.30 | Ethical cost: 0.4821 | H: 0.432
Epoch 111 [constrained] | Target: 0.00 | Ethical cost: 1.0438 | H: 0.400
Epoch 112 [constrained] | Target: 0.00 | Ethical cost: 1.6808 | H: 0.396
Epoch 113 [constrained] | Target: 0.30 | Ethical cost: 1.0450 | H: 0.437
Epoch 114 [constrained] | Target: 0.10 | Ethical cost: 0.5368 | H: 0.351
Epoch 115 [constrained] | Target: 0.00 | Ethical cost: 1.2636 | H: 0.379
Epoch 116 [constrained] | Target: 0.50 | Ethical cost: 0.1186 | H: 0.329
Epoch 117 [constrained] | Target: 0.30 | Ethical cost: 0.6436 | H: 0.374
Epoch 118 [constrained] | Target: 0.00 | Ethical cost: 0.1067 | H: 0.340
