Epoch   0 [unconstrained] | Target: 0.00 | H: 1.078
Epoch   1 [unconstrained] | Target: 0.60 | H: 1.093
Epoch   2 [unconstrained] | Target: 0.10 | H: 1.097
Epoch   3 [unconstrained] | Target: 0.00 | H: 1.094
Epoch   4 [unconstrained] | Target: 0.00 | H: 1.095
Epoch   5 [unconstrained] | Target: 0.10 | H: 1.084
Epoch   6 [unconstrained] | Target: 0.00 | H: 1.088
Epoch   7 [unconstrained] | Target: 0.20 | H: 1.092
Epoch   8 [unconstrained] | Target: 0.40 | H: 1.080
Epoch   9 [unconstrained] | Target: 0.10 | H: 1.086
Epoch  10 [unconstrained] | Target: 0.10 | H: 1.065
Epoch  11 [unconstrained] | Target: 0.20 | H: 1.073
Epoch  12 [unconstrained] | Target: 0.20 | H: 1.072
Epoch  13 [unconstrained] | Target: 0.50 | H: 1.088
Epoch  14 [unconstrained] | Target: 0.40 | H: 1.066
Epoch  15 [unconstrained] | Target: 0.00 | H: 1.051
Epoch  16 [unconstrained] | Target: 0.10 | H: 1.068
Epoch  17 [unconstrained] | Target: 0.20 | H: 1.069
Epoch  18 [unconstrained] | Target: 0.60 | H: 1.050
Epoch  19 [unconstrained] | Target: 0.90 | H: 1.058
Epoch  20 [unconstrained] | Target: 0.00 | H: 1.059
Epoch  21 [unconstrained] | Target: 0.20 | H: 1.062
Epoch  22 [unconstrained] | Target: 0.00 | H: 1.046
Epoch  23 [unconstrained] | Target: 0.00 | H: 1.055
Epoch  24 [unconstrained] | Target: 0.00 | H: 1.063
Epoch  25 [unconstrained] | Target: 0.00 | H: 1.049
Epoch  26 [unconstrained] | Target: 0.10 | H: 1.053
Epoch  27 [unconstrained] | Target: 0.40 | H: 1.050
Epoch  28 [unconstrained] | Target: 0.00 | H: 1.026
Epoch  29 [unconstrained] | Target: 0.00 | H: 1.050
Epoch  30 [unconstrained] | Target: 0.50 | H: 1.042
Epoch  31 [unconstrained] | Target: 0.30 | H: 1.017
Epoch  32 [unconstrained] | Target: 0.90 | H: 1.043
Epoch  33 [unconstrained] | Target: 0.50 | H: 1.036
Epoch  34 [unconstrained] | Target: 0.60 | H: 1.017
Epoch  35 [unconstrained] | Target: 0.50 | H: 1.034
Epoch  36 [unconstrained] | Target: 0.20 | H: 1.023
Epoch  37 [unconstrained] | Target: 0.50 | H: 0.978
Epoch  38 [unconstrained] | Target: 0.00 | H: 1.007
Epoch  39 [unconstrained] | Target: 0.00 | H: 0.984
Epoch  40 [unconstrained] | Target: 0.10 | H: 0.992
Epoch  41 [unconstrained] | Target: 0.00 | H: 0.971
Epoch  42 [unconstrained] | Target: 0.00 | H: 1.003
Epoch  43 [unconstrained] | Target: 0.40 | H: 0.950
Epoch  44 [unconstrained] | Target: 0.10 | H: 0.927
Epoch  45 [unconstrained] | Target: 0.60 | H: 0.917
Epoch  46 [unconstrained] | Target: 0.00 | H: 0.925
Epoch  47 [unconstrained] | Target: 0.40 | H: 0.909
Epoch  48 [unconstrained] | Target: 0.40 | H: 0.919
Epoch  49 [unconstrained] | Target: 0.60 | H: 0.905
Epoch  50 [unconstrained] | Target: 0.00 | H: 0.872
